time,value
1753030264,"[7, 8]"
1754347031,[8]
1755024209,"[4, 8]"
1755261451,[4]
1755286700,"[4, 8]"
1755435704,[4]
1756026790,"[3, 4]"
1756782668,[3]
1756807111,"[3, 4]"
1756956608,[3]
1759047135,[]
1760026652,[5]
1762043786,"[2, 5]"
1764435604,[2]
1764587525,[]
1764615491,[2]
1764766310,[]
1766048829,[6]
1768891651,[]
1769024537,[5]
1770066859,[]
1777022641,[5]
1778023898,"[1, 5]"
1778442947,[1]
1779292916,[]
1784023470,[7]
1786026811,"[5, 7]"
1786197475,[5]
1787355999,[]
1788036283,[3]
1790956581,[]
1793044830,[5]
1794744083,[]
1801048898,[5]
1802807944,[]
1803024044,[8]
1804743551,[]
1806025219,[4]
1807089643,[]
1813031695,[2]
1815355299,[]
1816024660,[6]
1819892645,[]
1828031018,[5]
1829404293,[]
1837024166,[8]
1838024313,"[4, 8]"
1839022968,"[1, 4, 8]"
1841012878,"[1, 4]"
1841996554,[1]
1842472724,[]
1843023795,[7]
1843025344,"[5, 7]"
1845798039,[7]
1845822303,"[5, 7]"
1846008806,[7]
1846033200,"[2, 7]"
1847021157,"[1, 2, 7]"
1847234016,"[1, 7]"
1847436798,[1]
1847793290,[]
1848038330,[3]
1849033595,"[3, 6]"
1850308222,[3]
1851038243,"[3, 5]"
1852023573,"[3, 5, 7]"
1852278316,"[5, 7]"
1853023491,[5]
1853993000,[]
1854017149,[5]
1854168161,[]
1855021628,[1]
1856023021,"[1, 3]"
1856964522,[1]
1857083934,[]
1861035433,[7]
1863901404,[]
1864022303,[1]
1864023254,"[1, 3]"
1865344737,[3]
1865669047,[]
1867024017,[5]
1868033734,"[5, 7]"
1868497488,[5]
1868902194,[]
1871039326,[1]
1872023575,"[1, 3]"
1872077056,[3]
1872581761,[]
1875023356,[7]
1876362418,[]
1880018428,[1]
1880025391,"[1, 3]"
1881216722,[1]
1881245116,[]
1883034958,[5]
1884024755,"[5, 7]"
1884520551,[5]
1886954280,[]
1887003214,[5]
1887219489,[]
1888026334,[3]
1889023141,[]
1896024280,[8]
1897187134,[]
1898023843,[4]
1898857618,[]
1904023835,[8]
